Day of Production,Oil Rate (mbd),Water Cut (%),GOR (scf/stb),Water Rate (mbd),Liquid Rate (mbd),Gas Rate (mscf)
1181,Pu-04,,,,,,
1181,Pu-05,,,,,,
1181,Co-01,,,,,,
1181,Co-02,,,,,,
1181,Ga-01,,,,,,
1181,Ga-02,,,,,,
1181,Ga-03,,,,,,
1181,Ga-04,,,,,,
1181,Cr-01,,,,,,
1181,Cr-02,,,,,,
1181,Pd-01,,,,,,
1181,Pd-02,,,,,,
